No.Dok.Impor;Tgl.Impor;Jenis Importasi;Port Of Entry;ID Importir;Nama Importir;Kategori Importir;Alamat;Kode Barang;Nama Barang;Kategori;Sub Kategori;Harga;Kuantitas; Nilai Barang ; Nilai Pabean ; Bea Masuk ; Nilai Impor ; PPn Impor ; PPh Impor ; Penerimaan Negara atas Impor ;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15=13x14;16 = 15 + CIF;17 = 16 x tarif BM;18=16+17;19=18 x tarif PPn;20 = 18 x tarif PPh;21=17+19+20;;
CA-2012-100146;14/05/2014;Umum Komersil;California;CB-12535;Claudia Bergmann;Merchant Importer;Camarillo;FUR-CH-10003833;Novimex Fabric Task Chair;Furniture;Chairs;95.57;234; 22,362.91 ; 24,040.13 ; 1,202.01 ; 25,242.14 ; 757.26 ; 315.53 ; 2,274.80 ;;
CA-2012-100146;14/05/2014;Umum Komersil;California;CB-12535;Claudia Bergmann;Merchant Importer;Camarillo;FUR-FU-10001979;Dana Halogen Swing-Arm Architect Lamp;Furniture;Furnishings;119.91;351; 42,088.41 ; 45,245.04 ; 2,262.25 ; 47,507.29 ; 1,425.22 ; 593.84 ; 4,281.31 ;;
CA-2012-100146;14/05/2014;Umum Komersil;California;CB-12535;Claudia Bergmann;Merchant Importer;Camarillo;FUR-BO-10004015;Bush Andora Bookcase, Maple/Graphite Gray Finish;Furniture;Bookcases;504.96;585; 295,400.43 ; 317,555.46 ; 15,877.77 ; 333,433.24 ; 10,003.00 ; 4,167.92 ; 30,048.69 ;;
CA-2012-100146;14/05/2014;Umum Komersil;California;CB-12535;Claudia Bergmann;Merchant Importer;Camarillo;FUR-CH-10004495;Global Leather and Oak Executive Chair, Black;Furniture;Chairs;719.35;351; 252,492.55 ; 271,429.49 ; 13,571.47 ; 285,000.97 ; 8,550.03 ; 3,562.51 ; 25,684.02 ;;
CA-2012-100216;13/04/2014;Sementara;Arizona;HJ-14875;Heather Jas;Sole Agent Importer;Mesa;OFF-PA-10000788;Canon 210;Office Supplies;Paper;25.10;702; 17,623.01 ; 19,385.31 ; 387.71 ; 19,773.01 ; 98.87 ; 49.43 ; 536.00 ;;
CA-2012-100216;13/04/2014;Sementara;Arizona;HJ-14875;Heather Jas;Sole Agent Importer;Mesa;OFF-PA-10002968;Xerox 1973;Office Supplies;Paper;51.82;351; 18,187.42 ; 20,006.16 ; 400.12 ; 20,406.28 ; 102.03 ; 51.02 ; 553.17 ;;
CA-2012-100573;25/09/2014;Umum Komersil;California;AM-10705;Anne McFarland;General Importer;Los Angeles;OFF-EN-10000461;"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes";Office Supplies;Envelopes;15.48;234; 3,622.32 ; 3,893.99 ; 194.70 ; 4,088.69 ; 122.66 ; 51.11 ; 368.47 ;;
CA-2012-101154;18/09/2014;Sementara;California;CM-12190;Charlotte Melton;General Importer;San Diego;OFF-ST-10004186;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";Office Supplies;Storage;439.92;468; 205,882.56 ; 226,470.82 ; 4,529.42 ; 231,000.23 ; 1,155.00 ; 577.50 ; 6,261.92 ;;
CA-2012-101707;27/08/2014;Umum Komersil;California;PF-19165;Philip Fox;General Importer;San Diego;OFF-LA-10000134;Avery 511;Office Supplies;Labels;2.08;117; 243.36 ; 261.61 ; 13.08 ; 274.69 ; 8.24 ; 3.43 ; 24.76 ;;
