Tgl.Impor;Jenis Importasi;TARIF CIF;TARIF BM;TARIF PPN;TARIF PPH;Port Of Entry;ID Importir;Nama Importir;Kategori Importir;ALAMAT;Kode Barang;NAMA BARANG;KATEGORI;SUBKATEGORI;HARGA;KUANTITAS; NILAI BRG ; NILAI PABEAN ; BEA MASUK ; NILAI IMPOR ; PPN IMPOR ; PPH IMPOR ; PENERIMAAN IMPOR 
05/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Washington;SR-20740;Steven Roelle;Sole Agent Importer;Los Angeles;FUR-CH-10003396;Global Deluxe Steno Chair;Furniture;Chairs;60.58;117; 7,088.33 ; 7,620.00 ; 381.00 ; 8,001.00 ; 240.00 ; 100.01 ; 721.01 
05/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;JL-15175;James Lanier;Sole Agent Importer;Reno;OFF-BI-10001294;Fellowes Binding Cases;Office Supplies;Binders;50.16;702; 35,212.32 ; 37,853.20 ; 1,892.70 ; 39,745.90 ; 1,192.40 ; 496.82 ; 3,581.92 
05/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;JL-15175;James Lanier;Sole Agent Importer;Reno;OFF-AP-10004859;Acco 6 Outlet Guardian Premium Surge Suppressor;Office Supplies;Appliances;81.36;702; 57,114.72 ; 61,398.30 ; 3,069.90 ; 64,468.20 ; 1,934.00 ; 805.85 ; 5,809.75 
06/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Colorado;SP-20620;Stefania Perrino;Merchant Importer;Colorado Springs;OFF-BI-10002764;Recycled Pressboard Report Cover with Reinforced Top Hinge;Office Supplies;Binders;0.06;234; 14.04 ; 15.10 ; 0.80 ; 15.90 ; 0.50 ; 0.20 ; 1.50 
06/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Colorado;SP-20620;Stefania Perrino;Merchant Importer;Colorado Springs;OFF-PA-10004041;"It's Hot Message Books with Stickers, 2 3/4"" x 5""";Office Supplies;Paper;24.60;585; 14,391.00 ; 15,470.30 ; 773.50 ; 16,243.80 ; 487.30 ; 203.05 ; 1,463.85 
13/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;PB-19150;Philip Brown;General Importer;Phoenix;OFF-BI-10003364;Binding Machine Supplies;Office Supplies;Binders;67.01;351; 23,519.81 ; 25,283.80 ; 1,264.20 ; 26,548.00 ; 796.40 ; 331.85 ; 2,392.45 
13/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;PB-19150;Philip Brown;General Importer;Phoenix;FUR-FU-10001861;Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts;Furniture;Furnishings;73.60;468; 34,444.80 ; 37,028.20 ; 1,851.40 ; 38,879.60 ; 1,166.40 ; 486.00 ; 3,503.80 
13/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;California;PB-19150;Philip Brown;General Importer;Phoenix;FUR-FU-10004845;Deflect-o EconoMat Nonstudded, No Bevel Mat;Furniture;Furnishings;455.85;1053; 480,010.05 ; 516,010.80 ; 25,800.50 ; 541,811.30 ; 16,254.30 ; 6,772.64 ; 48,827.44 
23/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Montana;CW-11905;Carl Weiss;Sole Agent Importer;Bozeman;OFF-LA-10003077;Avery 500;Office Supplies;Labels;12.62;234; 2,953.08 ; 3,174.60 ; 158.70 ; 3,333.30 ; 100.00 ; 41.67 ; 300.37 
23/01/2014;Umum Komersil;0.075;0.05;0.03;0.0125;Montana;CW-11905;Carl Weiss;Sole Agent Importer;Bozeman;OFF-PA-10002893;"Wirebound Service Call Books, 5 1/2"" x 4""";Office Supplies;Paper;26.04;351; 9,140.04 ; 9,825.50 ; 491.30 ; 10,316.80 ; 309.50 ; 128.96 ; 929.76 
